总数 18103
0 黄昏的燕子——不想高飞
1 包米秸子喂牲口——天生的粗料
2 小河沟里撑船——一竿子插到底
3 千年的铜钟——经得起打击
4 壁虎捕虫——不动声色
5 喝清水拿筷子——没有用
6 披大氅偷烟袋——文明人不做文明事
7 烧香忘了磕头——顾此失彼
8 高粱秆结茄子——不可恩议
9 树倒猢猴散——彻底垮台
10 脚踏楼梯板——步步高升
11 两手抱个驴粪蛋——不肯
12 戏台上的官——一晃就散
13 二分钱买个羊蹄子——咬筋
14 偷的锣儿——敲不得
15 一斤肉包的饺子——好大皮子
16 道士舞大钳——少见
17 马桶盖锥眼——出臭气
18 出窑的砖——定了型的
19 亭子里谈心——讲风凉话
20 六月飞霜——怪事
21 电线杆子拉胡琴——大老粗
22 头上戴袜子——能出脚来了
23 打肿脸——充胖子
24 石头缝里的山药——吃不成，抠个稀烂
25 冬天的扇子，夏天的火炉——没人爱
26 深山里的石头——有的是
27 水泥柱里的钢筋——暗中使劲
28 太医的药方——有名无实
29 嘴里吃了烂猪毛——乱糟糟
30 小孩儿放炮仗——闹着玩儿的
31 冬天的暖水瓶——外冷内热
32 岸上没鲤鱼——合理有理
33 三九天穿单褂——威风
34 小巴儿狗咬月亮——不知高低
35 麻雀饮河水——干不了
36 小爪子抓挠——直痒痒
37 大麦芽做饴糖——好料子
38 王麻子的剪刀——货真价实
39 电线杆上晾衣服——好大的架子
40 酷霜打过的刺儿菜——低着脑袋耷拉眼
41 马蜂蜇秃子——头痛
42 黄鼠狼钻阴沟——各走各的路
43 无牛捉了马耕田——大材小用
44 开饭馆不怕大肚汉——越多越好
45 打铁掉地下——白搭一火
46 黄牛反刍——肚里啥货自己知
47 灯草织布——枉费心机
48 针尖上落灰——微不足道
49 霉烂的栗子——黑心
50 疯狗吃太阳——不晓得天高地厚
51 只许州官放火——不许百姓点灯
52 贾宝玉游魂——误入迷津
53 黄鼠狼等食——见机行事
54 象棋盘里斗胜负——纸上谈兵
55 夜壶掉了把——光剩嘴，难拿
56 寥天地烤火——一面热
57 黄鳝过沙滩——不死也落一身残
58 戴着木头眼镜——看不透
59 石板剖鱼——难下刀
60 木偶上台——任人摆布
61 千年的狐狸精——古怪
62 木匠推刨子——直来直去
63 三天不吃饭——充个卖米汉
64 发酵的面粉——气鼓气胀
65 火钩上阵——不成兵器
66 玩戏法的下跪——没有办法了
67 老鼠戏猫儿——好大胆
68 蚊子咬木偶——找错了对象
69 留得青山在——不怕没柴烧
70 钝刀子切藕——藕断丝连
71 染坊里的姑娘——变了色
72 绣花枕头——外面光
73 刚出笼的馒头——热气腾腾
74 门墩子做牌位——放不下你
75 馍馍掉粪坑——臭货
76 牛毛上解锯——刻薄
77 拾着麦子打烧饼卖——净赚
78 苍蝇打哈欠——没好气
79 乌龟爬门槛——就看此一跌
80 豆腐乳做莱——那还用言
81 唱戏的点兵——名不副实
82 打柴人回山庄——两头担心
83 贴在墙壁上的年画——有影没有声
84 黄鼠狼躲在鸡棚里——没偷也是偷
85 圣人庙——供养贤人
86 卤煮鸪鸡——窝了脖子
87 头上刷浆糊——糊涂到顶
88 山洞里的泉水——畅通无阻
89 房檐下的石头——淋不着
90 癫蛤蟆披鸡毛——充当漂亮鸟
91 花籽喂牲口——不是好料
92 落水的桃花——随波逐流
93 大便坑里扔炸弹——激起人愤
94 屎壳郎掉进药柜儿里——冒充大力丸
95 按老方子吃药——还是老一套
96 洞庭湖里吹喇叭——哪里哪里
97 吃了豆腐吃蚯蚓——始终是软心肠
98 挨着火炉吃海椒——里外发烧
99 用针挖井——白费工夫
100 八哥啄柿子——拣软的吃
101 木匠的刨子——直来直去
102 下了地狱才后悔——来不及了
103 手指头卷饼——自己吃自己
104 夜猫子拉小鸡——有去无回
105 出了厨房进冰窖——忽冷忽热
106 开水煮白玉——不变色
107 黄狗撒尿——有数的几点儿
108 霜打的瓜秧——蔫头蔫脑
109 吃了白饭就拉屎——一根肚肠通到底
110 王八钻鼠洞——大概难办
111 茅房里摔茶壶——臭瓷不少
112 叭儿狗咬月亮——不知天高地厚
113 大风地里吃炒面——有口难开
114 太师椅着了火——坐也难，站也难
115 拉直牛角——白费功夫
116 眼睛长在后脑勺上——尽往后看
117 土地老腾空——神气来了
118 纳鞋底不拴线结——前功尽弃
119 搬梯子上天——瞎张罗
120 百鸟展翅——各显其能
121 立夏以后的烂毛笋——直坏到骨节里
122 苦鬼遇饿鬼——难兄难弟
123 梦里拾钱——白高兴一场
124 癞蛤蟆支桌子——尽命儿支着哩
125 猪鼻子插葱——装象
126 大街上卖笛子——自吹
127 叫化子落破庙——暂时躲躲雨雪
128 三十年的寡妇——好手
129 佛顶珠——虽拨不动
130 机关枪瞄大炮——直性子对直性子
131 毛驴背上银鞍鞯——不配
132 碌磷砸破子——实打实
133 酒杯量米——小器
134 锅里炒石头——油盐不进
135 瞎子钻进小胡同——处处碰壁
136 何仙姑要下凡——六神无主
137 孙女穿她娘的鞋——老样
138 梦中游苏杭——好景不长
139 猪悟能投胎——嘴巴坚挺
140 矮子过河——淹了心
141 老母鸡抱蛋——守着
142 左耳朵进，右耳朵出——耳旁风
143 蚂蚁下塘——不知深浅
144 剖腹献肝胆——死尽忠心
145 黄连树下接苦瓜——都是苦果
146 蛤蟆脏上插鸡毛——不是个好鸟
147 田鸡婆过垅——好热闹
148 月亮下点油灯——多事
149 腊月里遇着狼——冷不防
150 虎皮鹦鹉——学嘴学舌
151 卖螃蟹的上戏台——角色不少，能唱的不多
152 眉毛上挂炮仗——急在眼前
153 白布敲墨印——一是一，二是二
154 拔了蒜栽葱——离不了辣味
155 狐狸的尾巴——长不了
156 霸王敬酒——不干也得干
157 后脑勺上长疮——自己看不见，以为别人也看不见
158 屎坑里的砖——又臭又硬
159 乱葬坟里掷骰子——净是鬼点子
160 馅儿饼抹油——白搭
161 刘备摔孩子——收买人心
162 八月的丝瓜——黑了心
163 猪肠子脑袋——多拐弯
164 二尺长的吹火筒——只有一个心眼
165 生姜——辣手
166 断了线的风筝——下落不明
167 羊儿不吃草——壮不了
168 兔子蹦到油锅里——送上嘴的一盘好菜
169 肚里长瘤子——心腹之患
170 床底下劈柴——难免磕磕碰碰
171 拉屎攥拳——暗里使劲
